state,place,longitude,latitude,hospital_name,phone_no,address
Assam,"Guwahati, Maj Gaon",26.19079,91.715425,North Guwahati Veterinary Hospital,080012 13670,"Maj Gaon, Guwahati, Assam 781031"
Assam,"Guwahati, Geetanagar",26.173155,91.783255,Pet & Vet,0361 241 7733,"House 26,Niloy,Geetanagar Road,Near State Bank of India, Gitanagar Branch, Near Sahib Tila, Guwahati, Assam 781021"
Assam,"Guwahati, Beltola",26.137109,91.791034,Dolphin Aquarium Pet Shop & Veterinary Clinic,099540 64417,"Last Gate, Housefed, Bus Stop, Beltola - Basistha Rd, Basisthpur, Guwahati, Assam 781006"
Assam,Sonapur,26.12007,91.955084,Sonapur Veterinary Hospital,8712375934," NH37 Milanpur, 782402, Sonapur, Assam"
Assam,Jagiroad,26.126337,92.201793,Jagiroad veterinary hospital,9734512093,"Morigaon Rd, Jagiroad, Assam 782410"
Assam,Dhubri,26.025099,89.971087,Dhubri Veterinary Hospital,9412314578,"Veterinary Campus, College Nagar, College Road, Dhubri, Assam 783324"
Assam,Nagaon,26.119935,92.729219,Veterinary Hospital Jamunamukh,7812345876,"Nagaon, Assam 782001"
